TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
439080666,149731,468198,473,1370,506
439080708,53190,148221,436,1096,145
439081000,23937,69871,46,168,34
439081250,26329,28839,0,0,0
439081416,101544,246130,299,1376,242
439081833,194381,501988,585,2546,456
439081875,64182,115262,349,1046,108
440080666,832000,2612204,2700,7753,2454
440080750,897210,2574257,54877,17150,1727
441080750,1196355,3586709,57686,21266,2913
441080875,980176,3146695,31380,14416,2589
441080916,350865,986172,17876,3265,854
441080958,175166,544974,869,2022,500
442080666,237277,799725,1025,2593,639
442080708,578965,1474811,37366,13218,657
442080750,296526,963420,1402,3235,1033
443080583,103629,336573,655,1475,401
443080666,638641,2001124,18162,5190,1645
443080750,191736,571027,1032,2109,659
443080791,336804,1067696,1718,3385,1228
443081250,137037,237531,10655,1130,112
443081375,122884,269254,459,1710,265
444080750,16326,48969,101,359,19
444080833,221968,724152,1133,2769,786
444080875,225460,339646,0,0,0
444080916,19782,52750,2,21,10
445080666,147124,424991,982,1702,430
445080708,39882,38402,0,0,0
445081125,38967,100580,911,805,132
445081250,147850,218788,19450,7505,15
445081916,93767,215740,463,1284,235
445081958,35085,71826,64,526,29
445082041,12029,11512,15,63,3
445082208,110367,208020,480,1404,161
446080583,83357,275702,300,737,199
446080666,21576,56746,2,15,11
446081000,92050,147623,22308,6964,16
446081166,139163,157469,0,0,0
446081583,36062,78413,61,474,36
446081625,43760,82452,308,850,84
447080583,226956,720018,1224,2280,819
447080625,318696,467914,34735,10683,27
447080666,588210,1121264,36035,13301,226
448080750,96935,253050,26,127,29
448080875,220229,456975,35851,12788,105
448081041,215185,732704,759,1807,644
448081166,332117,535223,35324,12972,69
448081708,90394,219018,262,1308,136
448081833,15533,18066,37,300,74
448081916,169947,410575,690,1917,492
448081958,30258,44122,239,630,112
449080625,275359,878010,1385,3126,842
449080708,1015836,2870193,53641,18535,1883
450080875,347999,1048202,37029,14576,460
450081000,344433,1127940,5946,3421,732
450081166,118001,380326,931,1540,288
450081458,78657,193431,307,1197,142
451080666,1359125,4489783,4962,12683,4621
451080708,1274947,3738182,54229,20926,2976
451080750,2407018,7808948,76076,30781,6830
451080791,24860,68922,400,689,99
452080708,1554145,4680100,55910,22794,3737
452080750,146674,461743,664,1784,383
452081958,1440,3905,0,0,0
453080708,511573,1689949,1774,5737,1721
453080791,717544,2273540,53696,17048,1526
453080875,760932,2465426,2820,7507,2670
453080916,711712,2380743,4565,8554,2641
454080625,718937,2306248,20088,6233,2421
454080666,936960,3141822,2508,9573,2789
454080750,68638,108505,0,0,0
455080750,72788,72764,626,705,117
455080833,50064,146704,762,828,142
455080875,18572,20787,265,0,0
455080958,1868,3984,0,0,0
455081291,4302,5095,0,0,0
456080583,53529,78584,10335,221,12
456080666,191085,178197,0,0,0
456080708,63691,183418,725,1069,143
456080750,191112,389278,16248,1597,176
457080583,182180,470209,17550,1551,352
457080625,709191,2014015,54476,17551,1352
457080750,527151,1688140,18957,5351,1173
457080791,531262,1353284,36912,14372,598
458080708,766116,1981724,56295,20581,1058
458080750,144230,456654,1318,1926,514
458080833,68007,84025,0,0,0
458080875,69838,221027,328,893,221
459080708,294993,981990,1440,2707,1078
459080875,103341,308041,725,1446,298
459081166,257003,846707,1516,2572,963
459081291,429237,944898,35902,12890,243
459081583,70942,164778,397,995,231
460080583,206862,511581,17591,1619,378
460080625,738360,2531207,4583,5894,2453
460080666,52082,113199,7276,354,27
460081041,117010,277772,324,1455,194
460081291,394375,948309,1120,4190,719
460081458,363328,1162371,1520,3504,1174
461080583,152926,512687,581,1796,370
461080666,35024,97714,565,735,51
461080750,201804,670160,538,1537,633
461080791,202763,310316,0,0,0
462080750,430234,573926,27676,8747,31
462080833,323341,1056777,890,2811,889
462080875,20138,47275,2947,1994,11
462080958,35338,104145,243,685,37
462081291,5450,9229,0,0,0
463080666,153150,506123,845,1834,478
463080750,18290,44339,95,423,9
463080791,578497,1584946,53114,14661,825
463080833,308361,981462,1165,3117,929
464080666,152156,501688,598,1316,501
464080750,43430,147227,207,582,65
464080791,71723,238048,724,1018,229
464080916,44880,61387,0,0,0
464083708,261583,600815,892,2819,633
465080666,71970,237802,713,1131,207
465080750,469617,1542802,1409,4793,1297
465080791,80115,114936,0,0,0
466080833,690713,1771914,52941,14073,852
466080958,88025,230145,16725,696,221
466081250,87600,121428,0,0,0
466081625,5923,6228,0,0,0
467080666,1035266,3390681,2842,9191,3344
467080833,62613,173190,685,1010,205
467081041,4516,5875,0,0,0
467083041,1614,3905,0,0,0
468080583,1920,4086,0,0,0
468081041,72603,208421,41,92,20
468081166,114787,174054,1658,1074,5
468081500,36173,57029,54,543,9
469080958,70882,214369,648,1252,131
469081083,1751654,5203062,57872,25605,4406
469081375,2078008,6281671,57251,29371,5312
469081416,69329,94489,0,0,0
469081791,56705,97615,262,881,76
469081916,38050,64893,211,732,90
470080625,449541,1531296,2988,5060,1524
470080708,570951,1882111,1900,5858,1868
470080750,1330892,4084935,54851,19753,3376
471081083,361672,859593,36135,13339,307
471081291,355441,1116073,1744,3520,1284
471081750,288546,756353,574,3058,759
