TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
472071041,328261,942896,28131,3118,569
472071083,201304,421230,4819,2121,467
473070958,2022153,6814469,6286,19168,4357
473071250,2767811,9424899,26564,26383,5700
473071333,2019836,7029895,87978,20431,4950
473072208,1486105,4393036,42,15941,2879
473072375,1503979,3902632,5583,33376,2718
473072583,922681,2308164,9049,14041,1216
473073041,1413839,3358179,20879,27187,2023
474070750,18646,62553,9,25,10
474070791,861172,2976117,46865,10133,2874
474070875,1040215,2607714,3724,7356,1454
475070791,348974,1250000,1402,3504,840
475070875,189702,509376,17471,1997,435
475070916,967062,3096151,4081,8872,1863
475070958,941426,3181911,2664,9604,1929
476070875,1824757,5866741,7363,15062,3505
476070958,741904,2426267,32945,8364,2127
476071041,1893830,5731359,2721,17301,3379
476071083,1789523,5921019,98977,17031,3976
476071875,1243981,3691786,47,13407,2404
476071916,1237978,3504795,1345,15594,2078
477071000,84840,248348,4069,1376,181
477071125,181793,592694,9398,2685,414
477071291,472362,1538805,823,4962,1004
477071833,319099,775114,1183,7006,768
477071875,117841,261587,559,2692,304
477072041,797291,2646793,39052,8407,1925
477072083,131456,331000,44,1172,200
478070875,117507,380242,5267,1468,337
478070958,494977,1771402,2434,5594,1141
478071000,610524,2185078,2046,6272,1500
478071083,521687,1802644,37295,6695,941
479070833,273676,980325,732,3014,666
479070958,470003,1565658,2323,4893,995
479071000,730295,2615293,3747,7741,1719
479071083,400829,1336121,19942,4355,928
480070791,1682197,5903530,65865,18608,3873
480070916,214186,626464,8742,2812,626
480070958,216367,216533,0,0,0
480071000,117306,415617,7109,3801,113
480071666,141761,372059,41,1347,200
480071833,175600,423225,75,1549,246
480071916,193893,457321,700,4057,294
480072000,190524,208751,16494,1052,109
481070750,69206,226751,2670,1130,202
481070833,200514,190860,0,0,0
481070958,198841,655024,476,2062,430
481071416,40365,109359,18,397,63
482070833,45452,160611,2939,699,74
482070958,44676,57378,0,0,0
482071541,354055,879387,105,3143,563
482071583,352817,948379,17813,7562,470
482072750,1397,3905,0,0,0
483070791,1045167,2708575,1103,7557,1507
483070875,224284,796695,669,2470,558
483071041,351011,1175012,533,3920,797
483071208,703430,2381376,1251,7756,1546
483071541,488482,1293652,1381,7365,766
484070875,1029851,3440323,51854,9077,3000
484071000,907021,3040099,60440,10496,1916
484071041,1174161,3918406,2425,12590,2322
484071083,916301,2702190,1184,8258,1513
484071791,607446,1582156,2129,13080,1220
484071875,612305,1383055,19019,11705,471
484071916,611075,1224009,2713,15866,1002
484071958,609490,1580424,964,6682,972
485071125,28078,88175,53,293,45
485071291,906700,2904089,48371,12760,1920
485071583,39414,42913,0,0,0
485071750,740065,2517195,40457,8499,1886
485072125,8113,9927,0,0,0
485072291,6831,8435,0,0,0
485076291,13699,7888,0,0,0
486070875,216248,711838,425,2403,442
486070958,78863,154638,14067,1018,77
486071041,62886,217152,182,632,138
486071125,1205703,4331247,8889,13028,2747
487070916,1665267,5542167,9079,17266,3733
487071041,264504,947694,922,2813,564
487071333,464030,1655095,1952,5114,1089
487071458,1660968,5661390,66087,18263,3724
487071791,316959,822663,1166,6856,647
488070791,182772,615211,10218,2693,514
488070958,389037,1360606,21829,3801,1102
488071375,290987,967205,453,3188,634
488071708,129529,319641,58,1126,212
488072000,3500,5129,0,0,0
489070833,30427,98541,142,347,52
489070916,258196,871589,386,2822,531
489070958,169443,535183,703,2489,300
489071208,169749,313106,41,162,26
490070875,514010,1428150,484,4081,746
490070958,513797,1841789,2038,5334,1194
490071083,678882,2324809,5564,8620,1531
490071166,746075,2238068,42285,6369,1132
490071458,368454,1084095,19,3948,675
490071625,347722,863231,869,4805,546
491070916,1170443,3774038,40271,13073,2084
491071000,1751266,5600414,12712,15222,3392
491071041,2168766,7699189,80092,23951,5138
491071125,1951535,6200488,84560,18026,4054
491071750,802175,2034240,2602,17793,1476
491071916,818226,2116881,2504,18226,1424
492070875,120595,162258,0,0,0
492070958,872965,2552942,987,7058,1382
493070833,323828,1133827,16499,2986,1050
493070916,678961,2430060,2930,7272,1623
493071000,686128,2227799,1050,7161,1372
493071041,574855,2061359,3760,6545,1340
494070875,46197,151381,117,522,87
494070916,1356165,4663748,73755,16138,3332
494071000,58562,76595,0,0,0
494071375,13995,31272,13,122,14
494071583,16521,38215,18,441,5
494071791,17972,39528,8,147,12
494071958,19979,39815,131,450,30
495070833,187793,611161,10108,2571,515
495070875,189750,237706,0,0,0
495070958,93525,230583,4430,1342,217
495071083,127856,236923,44,170,22
495071416,58006,133407,309,1450,103
495071583,60836,130990,265,1259,60
495071750,51475,82515,391,976,65
495072000,61948,137325,207,1487,100
496070791,363960,1264210,18695,4588,952
496070833,523020,1754684,26429,5566,1090
496070916,17738,57468,11,193,30
496070958,20995,24212,0,0,0
496071333,27465,64763,7,237,26
497070750,286990,1024946,956,3027,643
497070833,139918,465567,204,1631,313
497071041,395226,1265833,18092,4697,957
497071166,601587,1109997,343,2220,418
497071458,109739,320067,9,1160,184
498070916,435196,1408591,652,4668,878
498071083,302984,617366,176,1404,264
498071208,139239,493768,313,1529,324
498071708,198432,248274,0,0,0
498071791,640710,1688754,194,6066,1030
498072125,192896,459697,605,4204,206
498072208,145738,333559,678,3314,271
498072333,660437,1826309,58,6662,1199
499070791,123271,425467,6931,1966,235
499070958,839193,2415114,2525,5830,1282
499071000,623413,2108057,31974,6988,1361
499071041,828249,2777205,14552,9942,1518
499071583,443244,1200402,125,4250,808
499071666,445362,1188034,1622,10176,1040
500070916,255325,716686,17721,2680,343
500071000,700910,2169579,1779,5860,1301
500071125,625700,2129698,34038,5874,1516
500071333,672138,2411538,2332,6916,1556
501070833,244885,818884,414,2672,485
501070916,508446,1738105,27484,5049,1550
501071041,272358,194116,0,0,0
501071166,247029,203225,0,0,0
501071750,197567,483218,683,4480,435
501071791,135328,308045,506,2934,170
501071833,174155,496479,26,1831,323
502071041,143795,454202,6856,2256,314
502071458,751932,1626480,1250,3637,842
502071541,266869,828080,9633,3965,348
502071750,240746,723459,11529,3045,596
502072250,157258,347240,664,3410,301
503070916,290207,908779,12896,3811,783
503071041,619732,2012681,27743,7871,1561
503071125,294025,430787,86,168,13
503071166,105105,318047,277,979,215
504070916,51333,151208,2586,1036,123
504070958,51590,68657,0,0,0
504071458,39781,59563,83,767,8
504071541,20992,37933,25,318,0
504072666,1876,3901,0,0,0
505071000,105134,356836,5828,1738,241
505071041,1307141,3974848,2255,12177,2426
505071083,114545,142798,0,0,0
505071750,59248,125666,324,1433,110
505071833,55399,126815,184,1320,96
505071916,53619,138268,215,1567,78
505071958,58473,135311,236,1303,86
506071000,256664,767726,27682,3672,443
506071041,181489,646500,297,2158,412
506071083,923729,2702914,4074,7628,1454
507070875,81444,284419,97,983,174
507070916,513468,1498306,28980,5519,641
507070958,86792,100688,0,0,0
507071416,44315,42016,46,450,5
507071458,37666,97745,21,371,58
508070916,292912,1043555,923,3204,686
508070958,4656,6786,0,0,0
508071000,24293,21868,0,0,0
508071541,314778,819493,111,2868,484
508071625,18186,14951,94,178,15
508071750,303673,881635,19,3241,565
508072166,2342,3927,0,0,0
509071000,640865,1789637,923,5210,957
509071125,375281,1342197,583,4533,844
509071291,546262,1772449,25832,5962,1501
509071791,634800,2137555,1080,7027,1376
509071916,258189,726226,869,6161,503
510070833,270234,855249,11576,3143,703
510070916,270975,970549,767,3008,606
510071000,2985606,10035684,116168,33425,6636
510071041,884992,3039211,1573,9872,1820
511070916,297808,384364,0,0,0
511071083,1050904,3107984,2882,7860,1783
511071541,75203,153183,555,1724,151
511071666,99237,215673,44,176,26
512071000,309753,697235,345,1710,342
512071166,439685,1570489,1440,4588,1085
512071375,1071834,3730610,73614,12670,2730
512071625,279602,904803,625,2837,600
512072125,194841,567446,14,2058,381
512072250,189664,509125,55,1814,323
512072458,200414,525477,1021,4361,523
513071000,448419,855135,257,1499,284
513071041,188298,590696,7624,2471,170
513071125,34841,92784,1499,951,86
513071250,441678,1459550,847,4866,963
513071666,121680,300011,690,2985,253
513071875,136131,302991,465,2928,185
514070958,923678,3317735,3422,9357,2139
514071083,1652485,5583024,95358,16870,4182
514071375,1322111,4491989,3470,13400,2766
514071500,134203,406073,6422,1974,273
514071875,102674,233772,446,2333,117
515071083,79808,273431,223,891,177
515071291,230799,784332,12232,2540,742
515071416,445454,1500976,1057,4726,857
515071625,406336,1205679,31427,4283,522
515072000,54140,148320,9,553,98
515072166,56283,118420,184,1373,80
516071166,359749,409975,0,0,0
516071541,48758,139541,127,538,78
516071666,49356,134474,106,483,76
516072000,24621,31351,100,374,115
516072041,25911,65341,39,774,9
517070875,318885,645578,346,1594,292
517070958,214217,760688,835,2187,526
517071000,308859,1021725,528,3379,630
518071166,169483,539557,9167,1774,244
518071333,29592,63933,835,1012,78
518071458,264189,310432,0,0,0
518071833,12967,20568,6,75,6
518071916,29205,83015,5,29,14
518072041,31066,64523,119,793,109
519070958,1791245,5583161,3921,16534,3315
519071083,1789715,6368700,9895,20574,4162
519071166,2729827,9207683,20463,27110,5533
519071291,1674064,5244177,81027,16067,3735
519072125,1250492,3219492,4859,28550,1924
519072208,1164936,2588506,19986,20218,1955
519072250,1396623,3776017,400,13204,2314
520070791,46393,148797,114,562,90
520070875,1105469,3465503,66044,9913,2682
520070916,147420,525896,8955,2388,301
520071000,654495,2198928,32332,7917,1915
521070958,7423,17964,45,62,4
521071083,7646,9190,0,0,0
521071208,225862,759750,459,2522,464
521071333,438178,743399,422,1217,210
521071666,10642,15762,33,97,0
522070916,1598926,4767168,2897,13671,2788
522071166,2255963,6816582,4170,20173,4123
522071458,569108,1931498,7348,7482,1111
522071583,2018647,6614561,8643,17668,4273
522072000,91673,213671,361,2148,124
522072416,392392,1017397,1366,9019,800
523070875,1121108,3656105,73190,18089,2409
523071666,2375675,7158245,5152,20663,4378
523072291,12711,13595,0,0,0
524070916,121620,430946,297,1380,272
524071000,725367,2601243,3051,7472,1610
524071083,620821,1737258,621,5058,965
524071250,620785,2039278,29355,7060,1473
524071541,90593,257702,13,950,177
525071291,209236,541724,59,1926,333
525071416,100054,275364,19,1029,167
525071833,213627,548467,867,5199,548
525072083,212330,469778,726,3038,323
525072125,144837,120246,0,0,0
525072208,126505,429071,257,1342,273
525072250,337977,334616,0,0,0
526071041,1435369,4125307,72991,12740,3061
526071166,1446990,4139617,1806,12098,2442
526071458,596122,2010716,1748,5994,1337
526071583,1676182,5513481,100392,15735,4055
526072041,413859,1155569,1475,8895,1026
526072250,194733,461439,818,4443,423
527070833,109606,342005,3640,2014,340
527070875,46476,47395,0,0,0
527071250,117127,201020,32,75,20
527071833,61809,170846,4,625,94
527071958,57822,157922,16,593,114
527072041,54434,97977,430,1140,109
527072125,40065,19754,202,419,29
528070791,418924,1414236,956,4431,949
528070875,38424,130203,47,392,83
528070958,1213761,3259160,4393,8264,1685
528071000,269421,883320,13581,3164,613
529071041,1863073,5534994,4146,15432,3312
529071125,1620591,5600975,67377,18354,3638
529071208,187364,585624,7358,2772,470
529071625,126045,326358,639,3106,114
530070833,17009,39225,502,682,123
530070958,185277,647610,8928,2411,519
530071041,90104,121734,0,0,0
531070791,76764,236796,4047,1387,219
531071083,136716,482979,393,1596,316
531071125,137900,135841,0,0,0
531071291,91978,202858,27,80,19
531071750,37727,99914,11,373,72
531072000,39956,105327,10,402,71
531072083,36639,37278,3073,76,6
532070833,366195,1128585,16238,4522,831
532070958,367342,893531,283,2330,437
532071250,54497,183228,58,627,121
532071375,55051,169084,35,94,19
532071916,30479,60084,17,481,1
532071958,41366,84443,153,1094,90
